date,cases,province_state,country,lat,long,deaths
1/22/20,0,,Dominican Republic,18.7357,-70.1627,0
1/22/20,0,,Ecuador,-1.8312,-78.1834,0
1/22/20,0,,Egypt,26.0,30.0,0
1/22/20,0,,El Salvador,13.7942,-88.8965,0
1/22/20,0,,Equatorial Guinea,1.5,10.0,0
1/22/20,0,,Eritrea,15.1794,39.7823,0
1/22/20,0,,Estonia,58.5953,25.0136,0
1/22/20,0,,Eswatini,-26.5225,31.4659,0
1/22/20,0,,Ethiopia,9.145,40.4897,0
1/22/20,0,,Fiji,-17.7134,178.065,0
1/22/20,0,,Finland,64.0,26.0,0
1/22/20,0,French Guiana,France,3.9339,-53.1258,0
1/22/20,0,French Polynesia,France,-17.6797,149.4068,0
1/22/20,0,Guadeloupe,France,16.25,-61.5833,0
1/22/20,0,Mayotte,France,-12.8275,45.1662,0
1/22/20,0,New Caledonia,France,-20.9043,165.618,0
1/22/20,0,Reunion,France,-21.1351,55.2471,0
1/22/20,0,Saint Barthelemy,France,17.9,-62.8333,0
1/22/20,0,St Martin,France,18.0708,-63.0501,0
1/22/20,0,Martinique,France,14.6415,-61.0242,0
1/22/20,0,,France,46.2276,2.2137,0
1/22/20,0,,Gabon,-0.8037,11.6094,0
1/22/20,0,,Gambia,13.4432,-15.3101,0
1/22/20,0,,Georgia,42.3154,43.3569,0
1/22/20,0,,Germany,51.0,9.0,0
1/22/20,0,,Ghana,7.9465,-1.0232,0
1/22/20,0,,Greece,39.0742,21.8243,0
1/22/20,0,,Guatemala,15.7835,-90.2308,0
1/22/20,0,,Guinea,9.9456,-9.6966,0
1/22/20,0,,Guyana,5.0,-58.75,0
1/22/20,0,,Haiti,18.9712,-72.2852,0
1/22/20,0,,Holy See,41.9029,12.4534,0
1/22/20,0,,Honduras,15.2,-86.2419,0
1/22/20,0,,Hungary,47.1625,19.5033,0
1/22/20,0,,Iceland,64.9631,-19.0208,0
1/22/20,0,,India,21.0,78.0,0
1/22/20,0,,Indonesia,-0.7893,113.9213,0
1/22/20,0,,Iran,32.0,53.0,0
1/22/20,0,,Iraq,33.0,44.0,0
1/22/20,0,,Ireland,53.1424,-7.6921,0
1/22/20,0,,Israel,31.0,35.0,0
1/22/20,0,,Italy,43.0,12.0,0
1/22/20,0,,Jamaica,18.1096,-77.2975,0
1/22/20,2,,Japan,36.0,138.0,0
1/22/20,0,,Jordan,31.24,36.51,0
1/22/20,0,,Kazakhstan,48.0196,66.9237,0
1/22/20,0,,Kenya,-0.0236,37.9062,0
1/22/20,1,,"Korea, South",36.0,128.0,0
1/22/20,0,,Kuwait,29.5,47.75,0
1/22/20,0,,Kyrgyzstan,41.2044,74.7661,0
1/22/20,0,,Latvia,56.8796,24.6032,0
1/22/20,0,,Lebanon,33.8547,35.8623,0
1/22/20,0,,Liberia,6.4281,-9.4295,0
1/22/20,0,,Liechtenstein,47.14,9.55,0
1/22/20,0,,Lithuania,55.1694,23.8813,0
1/22/20,0,,Luxembourg,49.8153,6.1296,0
1/22/20,0,,Madagascar,-18.7669,46.8691,0
1/22/20,0,,Malaysia,2.5,112.5,0
1/22/20,0,,Maldives,3.2028,73.2207,0
1/22/20,0,,Malta,35.9375,14.3754,0
1/22/20,0,,Mauritania,21.0079,10.9408,0
1/22/20,0,,Mauritius,-20.2,57.5,0
1/22/20,0,,Mexico,23.6345,-102.5528,0
1/22/20,0,,Moldova,47.4116,28.3699,0
1/22/20,0,,Monaco,43.7333,7.4167,0
1/22/20,0,,Mongolia,46.8625,103.8467,0
1/22/20,0,,Montenegro,42.5,19.3,0
1/22/20,0,,Morocco,31.7917,-7.0926,0
1/22/20,0,,Namibia,-22.9576,18.4904,0
1/22/20,0,,Nepal,28.1667,84.25,0
1/22/20,0,Aruba,Netherlands,12.5186,-70.0358,0
1/22/20,0,Curacao,Netherlands,12.1696,-68.99,0
